Region,Area
"København",86.60
"Frederiksberg",8.70
"Dragør",18.30
"Tårnby",66.10
"Albertslund",23.20
"Ballerup",34.00
"Brøndby",21.00
"Gentofte",25.60
"Gladsaxe",24.90
"Glostrup",13.30
"Herlev",12.10
"Hvidovre",22.90
"Høje Taastrup",78.30
"Ishøj",26.50
"Lyngby-Taarbæk",38.80
"Rødovre",12.20
"Vallensbæk",9.50
"Allerød",67.40
"Egedal",125.90
"Fredensborg",112.10
"Frederikssund",248.50
"Furesø",56.80
"Gribskov",279.50
"Halsnæs",121.90
"Helsingør",118.90
"Hillerød",213.50
"Hørsholm",31.30
"Rudersdal",73.30
"Bornholm",588.40
"Christiansø",0.39
"Greve",60.40
"Køge",257.20
"Lejre",238.90
"Roskilde",211.80
"Solrød",40.10
"Faxe",404.90
"Guldborgsund",900.60
"Holbæk",577.20
"Kalundborg",575.30
"Lolland",886.10
"Næstved",676.80
"Odsherred",354.10
"Ringsted",294.70
"Slagelse",568.00
"Sorø",308.50
"Stevns",250.10
"Vordingborg",619.50
"Assens",511.50
"Faaborg-Midtfyn",633.60
"Kerteminde",205.90
"Langeland",289.20
"Middelfart",298.90
"Nordfyns",452.30
"Nyborg",276.80
"Odense",305.60
"Svendborg",415.40
"Ærø",90.10
"Billund",540.20
"Esbjerg",795.10
"Fanø",57.60
"Fredericia",133.60
"Haderslev",816.80
"Kolding",604.40
"Sønderborg",496.50
"Tønder",1283.90
"Varde",1240.10
"Vejen",813.70
"Vejle",1058.40
"Aabenraa",940.70
"Favrskov",540.30
"Hedensted",551.00
"Horsens",519.40
"Norddjurs",721.00
"Odder",223.70
"Randers",747.80
"Samsø",113.60
"Silkeborg",850.30
"Skanderborg",416.90
"Syddjurs",689.80
"Århus",467.90
"Herning",1321.10
"Holstebro",793.00
"Ikast-Brande",733.50
"Lemvig",508.80
"Ringkøbing-Skjern",1470.50
"Skive",683.40
"Struer",246.20
"Viborg",1408.90
"Brønderslev",633.10
"Frederikshavn",651.40
"Hjørring",926.80
"Jammerbugt",864.10
"Læsø",120.50
"Mariagerfjord",718.30
"Morsø",366.40
"Rebild",621.30
"Thisted",1073.90
"Vesthimmerland",769.80
"Aalborg",1137.40
